code	species	pigment	Fe_I	Tb_I	Mt_I	Ta_I	Fe_II	Tb_II	Mt_II	Ta_II	Fe_III	Tb_III	Mt_III	Ta_III	Fe_IV	Tb_IV	Mt_IV	Ta_IV	Post_LINE	Ant_LINE	AME	ALE	PME	PLE	WIDTH	HEIGHT	CLIPEO	CEPH_REG	Sterno_L	Sterno_W	PATURON	TOOTH	FANG
138	bornensis	0	2,47	2,81	2,44	1,34	2,38	2,56	2,22	1,25	2,03	2,03	1,69	0,88	2,59	2,69	2,28	1,13	0,42	0,38	0,04	0,06	0,06	0,06	1,03	0,48	NA	NA	0,75	NA	0,46	NA	0,66
139	bornensis	0	2,38	2,66	2,00	1,25	2,31	2,47	2,09	0,91	1,91	1,84	1,66	0,88	2,44	2,50	2,06	1,09	0,39	0,33	0,04	0,05	0,05	0,04	1,00	0,41	NA	NA	0,63	NA	0,52	NA	0,59
140	bornensis	0	2,66	2,84	2,50	1,41	2,56	2,66	2,00	1,31	2,66	2,59	2,03	1,00	2,09	2,09	1,84	0,88	0,45	0,41	0,04	0,07	0,07	0,07	1,09	0,41	NA	NA	0,66	NA	0,52	NA	0,50
141	bornensis	0	2,47	2,66	2,34	1,22	2,28	2,47	2,13	1,16	1,97	1,97	1,72	0,84	2,34	2,53	2,09	1,06	0,43	0,35	0,03	0,05	0,06	0,04	1,06	0,38	NA	NA	0,75	NA	0,51	NA	0,56
142	bornensis	0	2,28	2,50	2,16	1,16	2,25	2,41	2,19	1,19	2,00	1,97	1,66	0,84	2,56	2,56	2,16	0,97	0,40	0,38	0,03	0,06	0,06	0,04	1,03	0,46	NA	NA	0,66	NA	0,48	NA	0,53
143	bornensis	0	2,75	3,03	2,63	1,38	2,63	2,78	2,47	1,25	2,22	2,16	1,94	0,97	2,72	2,81	2,44	1,19	0,43	0,39	0,03	0,05	0,06	0,05	1,13	0,54	NA	NA	0,75	NA	0,51	NA	0,66
144	bornensis	0	2,22	2,44	1,97	1,13	2,03	2,31	1,94	1,00	1,78	1,78	1,47	0,84	2,19	2,31	1,81	0,97	0,39	0,34	0,03	0,05	0,05	0,04	0,91	0,40	NA	NA	0,66	NA	0,45	NA	0,50
145	bornensis	0	2,25	2,53	2,16	1,25	2,09	2,28	1,94	1,06	1,78	1,78	1,56	0,97	2,25	2,41	2,03	0,97	0,40	0,35	0,04	0,06	0,06	0,05	0,91	0,45	NA	NA	0,72	NA	0,44	NA	0,56
146	bornensis	0	2,34	2,59	2,47	1,31	2,25	2,52	2,21	1,25	1,91	2,09	1,81	1,13	2,47	2,50	2,16	1,09	0,40	0,36	0,03	0,05	0,05	0,03	0,94	0,46	NA	NA	0,75	NA	0,45	NA	0,59
147	bornensis	0	2,59	2,88	2,47	1,31	2,44	2,59	2,31	1,22	1,94	2,06	1,81	0,91	2,53	2,72	2,00	1,13	0,43	0,40	0,06	0,05	0,06	0,05	1,03	0,48	NA	NA	0,78	NA	0,67	NA	0,59
30	giachinoi	0	1,47	1,63	1,38	0,84	1,41	1,47	1,31	0,94	1,22	1,16	1,06	0,91	1,53	1,56	1,38	0,75	0,33	0,30	0,04	0,06	0,05	0,04	0,78	0,41	NA	NA	0,56	NA	0,42	NA	0,47
31	giachinoi	0	1,44	1,60	1,37	0,88	1,34	1,38	1,19	0,72	1,16	1,06	0,91	0,56	1,44	1,52	1,31	0,76	0,29	0,26	0,03	0,05	0,05	0,03	0,72	0,39	NA	NA	0,56	NA	0,44	NA	0,41
32	giachinoi	0	1,34	1,55	1,27	0,83	1,31	1,34	1,13	0,72	1,09	0,88	0,94	0,53	1,38	1,31	1,23	0,71	0,29	0,26	0,03	0,05	0,04	0,03	0,69	0,37	NA	NA	0,56	NA	0,39	NA	0,41
33	giachinoi	0	1,56	1,66	1,38	0,88	1,44	1,53	1,31	0,78	1,28	1,22	1,13	0,66	1,59	1,63	1,31	0,72	0,32	0,27	0,03	0,05	0,05	0,03	0,81	0,43	NA	NA	0,69	NA	0,47	NA	0,53
34	giachinoi	0	1,53	1,63	1,47	0,88	1,47	1,38	1,34	0,81	1,25	1,19	1,09	0,66	1,59	1,59	1,44	0,91	0,32	0,28	0,03	0,05	0,05	0,03	0,84	0,45	NA	NA	0,69	NA	0,45	NA	0,50
35	giachinoi	0	1,53	1,59	1,25	0,88	1,38	1,47	1,25	0,81	1,28	1,09	1,06	0,66	1,44	1,53	1,31	0,75	0,29	0,26	0,03	0,05	0,05	0,04	0,81	0,45	NA	NA	0,63	NA	0,39	NA	0,47
36	giachinoi	0	1,56	1,69	1,47	0,88	1,47	1,53	1,38	0,81	1,28	1,19	1,06	0,66	1,59	1,63	1,41	0,88	0,33	0,29	0,04	0,06	0,05	0,03	0,84	0,45	NA	NA	0,69	NA	0,45	NA	0,50
37	giachinoi	0	1,91	2,09	1,78	1,03	1,84	1,97	1,34	1,00	1,59	1,53	1,28	0,91	1,91	1,91	1,66	0,97	0,35	0,31	0,03	0,05	0,05	0,04	0,81	0,41	NA	NA	0,59	NA	0,42	NA	0,47
39	iulianae	0	1,40	1,72	1,49	1,07	1,30	1,50	1,37	0,93	1,16	1,29	1,12	0,75	1,59	1,76	1,54	1	0,36	0,31	0,05	0,07	0,06	0,07	0,95	0,36	0,22	0,64	0,73	0,70	0,42	0,06	0,28
40	iulianae	0	1,35	1,61	1,46	1	1,21	1,41	1,26	0,93	1,05	1,17	1,14	0,82	1,42	1,56	1,48	1,03	0,36	0,30	0,04	0,07	0,06	0,08	0,88	0,36	0,21	0,62	0,57	0,62	0,42	0,06	0,26
41	iulianae	0	1,30	1,48	1,32	1	1,17	1,33	1,18	0,94	1,05	1,07	0,99	0,76	1,39	1,53	1,34	0,91	0,41	0,34	0,03	0,06	0,06	0,06	0,89	0,34	0,20	0,59	0,59	0,59	0,39	0,05	0,26
42	iulianae	0	1,41	1,77	1,51	1,04	1,24	1,52	1,32	0,98	1,10	1,30	1,17	0,78	1,49	1,77	1,45	1,05	0,38	0,35	0,04	0,07	0,06	0,06	0,91	0,37	0,22	0,62	0,73	0,71	0,47	0,06	0,28
43	iulianae	0	1,41	1,28	1,14	0,90	1,37	1,56	1,42	1	1,20	1,18	1,15	0,77	1,61	1,77	1,50	1,01	0,35	0,29	0,03	0,06	0,04	0,05	0,89	0,32	0,20	0,56	0,65	0,66	0,47	0,05	0,27
44	iulianae	0	1,49	1,59	1,54	1,10	1,37	1,60	1,43	0,96	1,19	1,28	1,14	0,74	1,57	1,78	1,53	1,02	0,36	0,32	0,03	0,05	0,05	0,05	0,96	0,35	0,21	0,64	0,73	0,45	0,39	0,04	0,25
45	iulianae	0	1,35	1,28	1,25	0,95	1,16	1,53	1,44	0,99	1,06	1,10	1,03	0,74	1,34	1,52	1,40	0,90	0,33	0,27	0,03	0,05	0,05	0,05	0,85	0,31	0,17	0,57	0,62	0,46	0,35	0,04	0,24
46	iulianae	0	1,65	1,73	1,50	1,05	1,32	1,51	1,36	0,96	1,17	1,10	1,12	0,79	1,49	1,72	1,48	0,95	0,34	0,32	0,03	0,04	0,05	0,05	0,94	0,37	0,20	0,57	0,67	0,52	0,40	0,04	0,25
47	iulianae	0	1,50	1,83	1,51	1,09	1,33	1,53	1,40	1,02	1,14	1,13	1,07	0,85	1,60	1,68	1,52	0,99	0,34	0,31	0,03	0,06	0,05	0,06	0,95	0,32	0,19	0,54	0,61	0,56	0,38	0,05	0,27
48	konradi	0	2,31	2,71	2,23	1,39	2,28	2,50	2,12	1,31	1,79	1,79	1,67	0,92	2,32	2,42	1,96	1,19	0,48	0,45	0,04	0,05	0,03	0,03	1,08	0,36	0,20	0,71	0,79	0,75	0,56	0,07	0,31
49	konradi	0	1,95	2,56	2,18	1,41	1,88	2,32	2,02	1,27	1,66	1,71	1,56	0,90	2,22	2,29	1,95	1,10	0,47	0,41	0,01	0,02	0	0,01	1,10	0,40	0,23	0,70	0,67	0,78	0,55	0,07	0,36
50	konradi	0	2,46	2,88	2,35	1,43	2,31	2,59	2,24	1,30	1,93	1,84	1,75	0,91	2,46	2,56	2,12	1,16	0,49	0,43	0,03	0,04	0,01	0,03	1,22	0,36	0,20	0,80	0,77	0,80	0,56	0,06	0,37
51	konradi	0	2,05	2,54	2,20	1,22	1,97	2,30	2,10	1,17	1,60	1,64	1,62	0,88	2,24	2,14	2,10	1,13	0,39	0,34	0	0,02	0	0,02	1,10	0,35	0,18	0,72	0,75	0,78	0,59	0,06	0,32
52	konradi	0	2,46	2,84	2,52	1,35	2,27	2,46	2,30	1,27	1,98	1,79	1,87	0,94	2,53	2,53	2,38	1,16	0,49	0,43	0	0,02	0	0,02	1,25	0,39	0,21	0,81	0,86	0,80	0,58	0,09	0,40
53	konradi	0	2,52	2,94	2,53	1,34	2,41	2,74	2,36	1,26	2,04	2,03	1,96	0,96	2,56	2,73	2,47	1,21	0,44	0,36	0	0,02	0,02	0,04	1,27	0,43	0,22	0,81	0,86	0,93	0,60	0,06	0,40
54	konradi	0	2,51	2,73	2,35	1,46	2,37	2,44	2,22	1,36	1,73	1,93	1,71	1	2,40	2,39	2,19	1,28	0,45	0,41	0	0,04	0	0,04	1,04	0,33	0,18	0,70	0,79	0,81	0,58	0,07	0,37
55	konradi	0	2,70	3,11	2,76	1,67	2,61	2,87	2,53	1,55	2,17	2,07	2,02	1,13	2,55	2,91	2,45	1,34	0,55	0,48	0	0,04	0	0,03	1,24	0,39	0,22	0,84	0,89	0,82	0,54	0,07	0,41
56	konradi	0	2,39	2,90	2,48	1,54	2,44	2,61	2,40	1,36	1,95	1,99	1,75	1,08	2,46	2,58	2,30	1,23	0,49	0,45	0,02	0,04	0	0,02	1,16	0,42	0,20	0,77	0,81	0,86	0,58	0,07	0,36
57	konradi	0	2,49	2,93	2,45	1,53	2,27	2,63	2,23	1,36	1,97	1,92	1,75	1,04	2,47	2,62	2,23	1,24	0,50	0,45	0,02	0,05	0	0,03	1,14	0,38	0,20	0,80	0,88	0,81	0,56	0,07	0,38
58	lanai	0	2,63	3,14	2,66	1,52	2,56	2,85	2,77	1,58	2,24	2,21	2,06	1,11	2,81	2,96	2,66	1,38	0,50	0,45	0,03	0,06	0,04	0,05	1,32	0,42	0,24	0,84	0,73	0,84	0,70	0,10	0,52
59	lanai	0	2,73	3,17	2,77	1,48	2,59	3,02	2,67	1,45	2,19	2,38	2,16	1,15	2,99	3,11	2,68	1,32	0,53	0,49	0,04	0,06	0,04	0,05	1,34	0,47	0,27	0,89	0,85	0,87	0,60	0,10	0,40
60	lanai	0	2,69	3	2,59	1,58	2,55	2,59	2,43	1,38	2,06	2,03	1,84	1,07	2,64	2,77	2,35	1,34	0,47	0,43	0,04	0,06	0,05	0,06	1,20	0,38	0,22	0,80	0,83	0,79	0,58	0,08	0,43
61	lanai	0	2,59	3,04	2,69	1,54	2,50	2,83	2,56	1,50	2,19	2,22	2,05	1,08	2,68	2,92	2,54	1,34	0,47	0,44	0,04	0,05	0,05	0,06	1,25	0,40	0,25	0,84	0,81	0,88	0,60	0,08	0,40
62	lanai	0	2,59	2,94	2,52	1,50	2,43	2,74	2,53	1,41	2,05	2,04	1,99	1,07	2,58	2,82	2,49	1,31	0,47	0,43	0,03	0,06	0,05	0,04	1,25	0,40	0,23	0,75	0,76	0,80	0,58	0,09	0,46
63	lanai	0	2,47	2,78	2,42	1,27	2,38	2,55	2,19	1,34	2	1,97	1,82	1,05	2,51	2,65	2,31	1,23	0,45	0,42	0,03	0,06	0,04	0,06	1,14	0,38	0,23	0,78	0,82	0,74	0,53	0,08	0,38
64	lanai	0	2,30	2,78	2,30	1,44	2,23	2,52	2,21	1,31	1,96	1,97	1,76	1	2,44	2,51	2,20	1,18	0,46	0,41	0,03	0,06	0,04	0,05	1,17	0,38	0,21	0,80	0,71	0,83	0,57	0,09	0,44
65	lanai	0	2,15	2,54	2,19	1,40	2,03	2,40	2,03	1,35	1,74	1,80	1,55	0,92	2,16	2,39	2,03	1,21	0,40	0,37	0,04	0,05	0,04	0,04	1,07	0,38	0,20	0,69	0,71	0,79	0,58	0,07	0,38
66	lanai	0	2,62	3	2,71	1,52	2,51	2,82	2,52	1,41	2,29	2,22	2,04	1,08	2,83	2,89	2,50	1,24	0,50	0,45	0,05	0,06	0,04	0,04	1,30	0,41	0,27	0,88	0,80	0,86	0,62	0,09	0,46
67	lanai	0	2,69	3,07	2,76	1,55	2,60	3,03	2,65	1,48	2,31	2,29	2,11	1,08	2,85	3,03	2,64	1,30	0,53	0,48	0,04	0,06	0,04	0,06	1,33	0,44	0,24	0,90	0,98	0,89	0,63	0,09	0,46
68	lanai	0	2,49	2,90	2,44	1,47	2,32	2,66	2,28	1,36	2,02	1,86	1,88	1,05	2,52	2,82	2,26	1,28	0,45	0,39	0,04	0,05	0,04	0,04	1,17	0,42	0,25	0,74	0,95	0,84	0,59	0,07	0,40
69	lucifer	1	2,72	2,47	2,34	1,24	2,57	2,01	2,39	1,30	2,02	1,45	1,97	0,96	2,43	2,40	2,30	1,24	0,45	0,43	0,05	0,08	0,09	0,10	1,13	0,49	0,26	0,73	0,72	0,82	0,47	0,09	0,34
70	lucifer	1	2,65	3,20	2,87	1,52	2,71	2,87	2,59	1,51	2,21	2,19	2	1,05	2,68	2,49	2,35	1,35	0,47	0,40	0,07	0,10	0,08	0,09	1,20	0,51	0,28	0,86	0,69	0,88	0,52	0,10	0,41
71	lucifer	1	2,62	3	2,51	1,50	2,54	2,57	2,32	1,51	2,09	1,97	1,88	1,06	2,63	2,62	2,21	1,33	0,45	0,40	0,08	0,11	0,09	0,11	1,18	0,50	0,28	0,75	0,73	0,85	0,64	0,08	0,35
72	lucifer	1	2,71	3,08	2,60	1,51	2,64	2,79	2,39	1,45	1,92	1,92	1,73	0,98	2,49	2,55	2,22	1,20	0,47	0,44	0,06	0,11	0,10	0,10	1,12	0,52	0,29	0,73	0,68	0,83	0,70	0,08	0,37
73	lucifer	1	2,54	2,95	2,84	1,47	2,45	2,76	2,32	1,45	1,95	2,09	1,99	1,01	2,50	2,56	2,26	1,28	0,43	0,42	0,05	0,10	0,08	0,08	1,13	0,45	0,25	0,83	0,73	0,80	0,59	0,09	0,31
74	lucifer	1	2,69	2,92	2,51	1,50	2,60	2,72	2,41	1,42	2,03	1,86	1,21	0,65	2,79	2,50	1,91	1,28	0,45	0,43	0,07	0,12	0,10	0,11	1,22	0,47	0,27	0,91	0,82	0,88	0,64	0,09	0,39
